OrderedDict([('biweek', '23'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '148704.9449')])
OrderedDict([('biweek', '24'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '148831.495')])
OrderedDict([('biweek', '25'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '6'), ('pop', '148958.2819')])
OrderedDict([('biweek', '26'), ('year', '1910'), ('loc', 'WORCESTER'), ('cases', '22'), ('pop', '149085.303')])
OrderedDict([('biweek', '1'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '149212.5557')])
OrderedDict([('biweek', '2'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '149340.0375')])
OrderedDict([('biweek', '3'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '3'), ('pop', '149467.7457')])
OrderedDict([('biweek', '4'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '5'), ('pop', '149595.6777')])
OrderedDict([('biweek', '5'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '6'), ('pop', '149723.831')])
OrderedDict([('biweek', '6'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '12'), ('pop', '149852.203')])
OrderedDict([('biweek', '7'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '18'), ('pop', '149980.7911')])
OrderedDict([('biweek', '8'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '15'), ('pop', '150109.5926')])
OrderedDict([('biweek', '9'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '24'), ('pop', '150238.6051')])
OrderedDict([('biweek', '10'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '37'), ('pop', '150367.8258')])
OrderedDict([('biweek', '11'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '29'), ('pop', '150497.2523')])
OrderedDict([('biweek', '12'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '19'), ('pop', '150626.8819')])
OrderedDict([('biweek', '13'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '25'), ('pop', '150756.712')])
OrderedDict([('biweek', '14'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '19'), ('pop', '150886.7401')])
OrderedDict([('biweek', '15'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '151016.9635')])
OrderedDict([('biweek', '16'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '151147.3797')])
OrderedDict([('biweek', '17'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '151277.986')])
OrderedDict([('biweek', '18'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '151408.7799')])
OrderedDict([('biweek', '19'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '151539.7588')])
OrderedDict([('biweek', '20'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '151670.9202')])
OrderedDict([('biweek', '21'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '151802.2613')])
OrderedDict([('biweek', '22'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '151933.7796')])
OrderedDict([('biweek', '23'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '152065.4726')])
OrderedDict([('biweek', '24'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', 'NA'), ('pop', '152197.3375')])
OrderedDict([('biweek', '25'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '152329.372')])
OrderedDict([('biweek', '26'), ('year', '1911'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '152461.5732')])
OrderedDict([('biweek', '1'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '4'), ('pop', '152593.9388')])
OrderedDict([('biweek', '2'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '6'), ('pop', '152726.466')])
OrderedDict([('biweek', '3'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '5'), ('pop', '152859.1522')])
OrderedDict([('biweek', '4'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '2'), ('pop', '152991.995')])
OrderedDict([('biweek', '5'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '4'), ('pop', '153124.9917')])
OrderedDict([('biweek', '6'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '13'), ('pop', '153258.1396')])
OrderedDict([('biweek', '7'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '20'), ('pop', '153391.4363')])
OrderedDict([('biweek', '8'), ('year', '1912'), ('loc', 'WORCESTER'), ('cases', '21'), ('pop', '153524.8791')])
