OrderedDict([('biweek', '18'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '10'), ('pop', '512367.6219')])
OrderedDict([('biweek', '19'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '27'), ('pop', '512695.1736')])
OrderedDict([('biweek', '20'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '44'), ('pop', '513022.5314')])
OrderedDict([('biweek', '21'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '136'), ('pop', '513349.6898')])
OrderedDict([('biweek', '22'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '129'), ('pop', '513676.6433')])
OrderedDict([('biweek', '23'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '138'), ('pop', '514003.3861')])
OrderedDict([('biweek', '24'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '210'), ('pop', '514329.9128')])
OrderedDict([('biweek', '25'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '166'), ('pop', '514656.2178')])
OrderedDict([('biweek', '26'), ('year', '1920'), ('loc', 'BUFFALO'), ('cases', '106'), ('pop', '514982.2955')])
OrderedDict([('biweek', '1'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '467'), ('pop', '2701705')])
OrderedDict([('biweek', '2'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '413'), ('pop', '2704396.942')])
OrderedDict([('biweek', '3'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '438'), ('pop', '2707097.404')])
OrderedDict([('biweek', '4'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '484'), ('pop', '2709806.278')])
OrderedDict([('biweek', '5'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '469'), ('pop', '2712523.455')])
OrderedDict([('biweek', '6'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '641'), ('pop', '2715248.829')])
OrderedDict([('biweek', '7'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '621'), ('pop', '2717982.291')])
OrderedDict([('biweek', '8'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '675'), ('pop', '2720723.733')])
OrderedDict([('biweek', '9'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '681'), ('pop', '2723473.049')])
OrderedDict([('biweek', '10'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '674'), ('pop', '2726230.129')])
OrderedDict([('biweek', '11'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '666'), ('pop', '2728994.867')])
OrderedDict([('biweek', '12'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '721'), ('pop', '2731767.155')])
OrderedDict([('biweek', '13'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '450'), ('pop', '2734546.884')])
OrderedDict([('biweek', '14'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '259'), ('pop', '2737333.948')])
OrderedDict([('biweek', '15'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '117'), ('pop', '2740128.237')])
OrderedDict([('biweek', '16'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '59'), ('pop', '2742929.646')])
OrderedDict([('biweek', '17'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '36'), ('pop', '2745738.065')])
OrderedDict([('biweek', '18'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '24'), ('pop', '2748553.387')])
OrderedDict([('biweek', '19'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '38'), ('pop', '2751375.505')])
OrderedDict([('biweek', '20'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '32'), ('pop', '2754204.31')])
OrderedDict([('biweek', '21'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '64'), ('pop', '2757039.695')])
OrderedDict([('biweek', '22'), ('year', '1920'), ('loc', 'CHICAGO'), ('cases', '94'), ('pop', '2759881.552')])
